,Property ID,Locality data,Price,Property type,Property subtype,Type of sale,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Number of facades,Swimming pool,Building condition
122, 20233144,4680,139000,house,house,None,2,122,0,0,1,None,15,2,0,To renovate
123, 20234460,8500,199000,house,house,None,4,145,0,0,1,None,None,2,0,To renovate
124, 20235479,3078,370000,house,house,None,5,267,0,0,1,None,760,3,0,To renovate
125, 20241534,9500,267000,house,house,None,4,156,0,0,1,None,None,None,0,To renovate
126, 20240908,9300,309000,house,house,None,4,160,1,0,1,35,35,2,0,To be done up
127, 20236249,9890,459000,house,house,None,3,430,0,0,1,50,179,2,0,To be done up
128, 20236569,9070,574000,house,house,None,4,170,1,0,1,None,None,4,0,Good
129, 20236655,1410,975000,house,house,None,7,465,0,0,1,None,477,4,0,Good
130, 20236653,1420,975000,house,house,None,7,465,0,0,1,None,477,4,0,Good
131, 20236654,1640,975000,house,house,None,7,465,0,0,1,None,477,4,0,Good
132, 20216274,3000,630000,house,house,None,2,192,1,0,1,20,325,2,0,Good
133, 20234452,3020,295000,house,house,None,3,116,1,0,1,None,62,2,0,To be done up
134, 20226959,1180,1950000,house,house,None,5,310,0,0,1,20,200,3,0,As new
135, 20240188,9620,249000,house,house,None,4,212,0,0,1,None,None,None,0,To renovate
136, 20239890,2940,424000,house,house,None,4,186,1,0,1,None,792,None,0,Good
137, 20238025,4430,499000,house,house,None,4,118,1,0,1,6,4128,4,0,Good
138, 20231299,6061,110000,house,house,None,2,135,0,0,1,30,None,3,0,To renovate
139, 20231409,1861,325000,house,house,None,2,140,0,0,1,None,None,3,0,Good
140, 20228145,1200,415000,house,house,None,3,120,0,0,1,14,52,2,0,To renovate
141, 20229863,9660,445000,house,house,None,3,203,1,0,1,None,None,None,0,Good
142, 20228446,2850,665000,house,house,None,6,273,0,0,1,None,12,None,1,Good
143, 20232098,9790,790000,house,villa,None,4,350,0,0,1,None,None,4,0,To be done up
144, 20221831,4540,150000,house,house,None,4,132,0,0,1,None,237,3,0,To renovate
145, 20235915,8870,169000,house,house,None,3,135,1,0,1,None,None,None,0,Just renovated
146, 20235912,8800,259500,house,house,None,3,102,1,0,1,15,None,None,0,Just renovated
147, 20236454,4680,299000,house,house,None,3,120,0,0,1,None,550,4,0,To renovate
148, 20236845,8790,299000,house,house,None,2,130,1,0,1,53,None,3,0,Good
149, 20240174,8582,375000,house,house,None,3,217,1,0,1,None,None,None,0,Just renovated
150, 20239562,1495,400000,house,house,None,5,240,0,0,1,None,None,4,0,Good
151, 20215787,9140,499000,house,house,None,3,175,0,0,1,100,860,4,0,Just renovated
152, 20229361,8500,164500,house,house,None,3,120,1,0,1,20,40,2,0,Good
153, 20229231,4672,189000,house,house,None,3,131,0,0,1,32,25,2,0,Good
154, 20228129,9600,214000,house,house,None,4,162,1,0,1,15,65,2,0,Good
155, 20228155,4680,290000,house,house,None,3,186,1,0,1,40,None,3,0,As new
156, 20228134,1350,325000,house,house,None,3,244,1,0,1,50,348,3,0,Good
157, 20228064,1370,325000,house,house,None,3,244,1,0,1,50,348,3,0,Good
158, 20228144,2230,348500,house,house,None,3,199,0,0,1,None,None,3,0,Good
159, 20228281,1330,430000,house,villa,None,3,158,0,0,1,None,450,4,0,To renovate
160, 20227335,1950,685000,house,house,None,4,230,0,0,1,50,2900,4,0,To be done up
161, 20218983,1030,399000,house,house,None,5,200,0,0,1,10,30,2,0,To be done up
162, 20205405,3020,455000,house,house,None,3,190,1,0,1,20,150,None,0,To be done up
163, 20233202,5621,225000,house,house,None,4,175,0,0,1,30,None,2,0,As new
164, 20239267,8560,310000,house,house,None,3,190,1,0,1,None,316,3,0,Good
165, 20236559,2960,479000,house,villa,None,4,226,1,0,1,None,780,4,0,To be done up
166, 20236656,1030,549000,house,apartment-block,None,8,350,0,0,1,None,30,3,0,To be done up
167, 20236657,1030,549000,house,house,None,8,350,0,0,1,None,30,3,0,To be done up
168, 20238170,2600,849000,house,house,None,4,232,0,0,1,None,70,2,0,Just renovated
169, 20230748,4400,185000,house,house,None,2,125,1,0,1,10,150,2,0,Good
170, 20234194,4870,199000,house,house,None,2,78,1,0,1,15,96,3,0,Good
171, 20233264,4680,279000,house,house,None,3,149,1,0,1,67,525,3,0,Good
172, 20234764,4400,285000,house,house,None,3,135,0,1,1,10,50,2,0,As new
173, 20233484,2550,319000,house,house,None,5,172,1,0,1,14,100,2,0,To be done up
174, 20241395,8800,339000,house,house,None,3,164,1,0,1,15,40,3,0,Good
175, 20240960,2110,474000,house,house,None,3,154,1,0,1,41,330,3,0,Just renovated
176, 20236824,3090,535000,house,villa,None,4,213,1,0,1,21,1521,4,0,To be done up
177, 20240646,1200,790000,house,house,None,10,362,0,0,1,5,50,2,0,To renovate
178, 20238292,9660,2125000,house,villa,None,5,519,0,0,1,210,4725,4,1,As new
179, 20230230,4101,215000,house,house,None,2,117,1,0,1,30,205,2,0,As new
180, 20224191,2800,348000,house,house,None,4,153,1,0,1,None,37,2,0,Just renovated
181, 20234550,4020,245000,house,town-house,None,5,148,1,0,1,15,115,3,0,To renovate
182, 20232519,9400,395000,house,house,None,3,175,1,0,1,50,1000,None,0,Good
183, 20233771,1390,449000,house,house,None,3,157,1,0,1,None,None,4,0,Just renovated
184, 20241177,4100,179900,house,house,None,4,140,1,0,1,None,50,2,0,Just renovated
185, 20240193,9700,325000,house,house,None,3,146,0,0,1,None,None,None,0,Good
186, 20241548,8760,330000,house,house,None,3,174,1,0,1,None,None,None,0,Just renovated
187, 20241357,1070,499000,house,house,None,5,234,0,0,1,13,234,3,0,Good
188, 20240840,2570,839000,house,house,None,4,285,1,0,1,None,None,None,0,Good
189, 20218732,2800,539000,house,house,None,4,153,1,0,1,13,490,4,0,Good
190, 20237592,9300,1195000,house,house,None,3,385,0,0,1,None,None,4,0,As new
191, 20227569,4020,289000,house,house,None,4,211,1,0,1,15,None,2,0,Good
192, 20227779,2660,475000,house,house,None,4,175,1,0,1,22,121,2,0,None
193, 20228088,1200,1490000,house,house,None,5,290,0,0,1,None,650,2,0,To renovate
194, 20209443,7321,285000,house,house,None,4,185,0,0,1,135,365,4,0,Good
195, 20234864,6760,165000,house,house,None,3,140,0,0,1,None,None,2,0,To be done up
196, 20234863,6760,165000,house,apartment-block,None,3,140,0,0,1,None,None,2,0,To be done up
197, 20230537,8501,348000,house,house,None,3,117,1,0,1,None,None,None,0,Good
198, 20235277,2018,349000,house,mansion,None,4,337,0,0,1,None,166,2,0,To renovate
199, 20233409,9700,359000,house,house,None,3,104,0,0,1,None,None,2,0,As new
200, 20234450,3000,590000,house,house,None,3,241,1,0,1,None,115,3,0,Just renovated
201, 20231992,1150,670000,house,house,None,4,180,0,0,1,None,170,2,0,To renovate
202, 20231226,1741,695000,house,house,None,4,358,1,0,1,23,2300,4,0,Good
203, 20234921,9830,895000,house,villa,None,3,206,1,0,1,None,None,4,0,Just renovated
204, 20233648,1200,945000,house,house,None,5,370,0,0,1,20,110,2,0,Good
205, 20240194,9500,215000,house,house,None,2,75,0,0,1,None,None,None,0,Just renovated
206, 20239939,9080,298000,house,house,None,2,140,1,0,1,None,None,None,0,To be done up
207, 20240525,2600,425000,house,house,None,3,138,1,0,1,11,None,None,0,Just renovated
208, 20230361,9600,139000,house,house,None,3,180,0,0,1,None,20,2,0,To renovate
209, 20230737,7910,269900,house,house,None,3,162,1,0,1,34,371,2,0,As new
210, 20231410,1700,425000,house,house,None,3,155,0,0,1,None,65,3,0,To be done up
211, 20221829,4100,149000,house,house,None,2,57,0,0,1,7,110,3,0,Just renovated
212, 20236441,4460,224000,house,house,None,2,75,1,0,1,50,78,2,0,Good
213, 20233953,9660,293000,house,house,None,2,184,1,0,1,None,None,None,0,Good
214, 20237417,2660,334000,house,house,None,4,205,0,0,1,None,70,2,0,Just renovated
